t_s,B_x_nT,B_y_nT,B_z_nT
447,19626.8457625411,7517.08640280258,-31621.3701516198
447.5,21163.7213723606,5758.29005018174,-31009.1481150631
448,22598.995956068,3957.16723248844,-30286.1715038957
448.5,23927.6525355872,2122.71623962238,-29454.80155781
449,25145.3553276486,264.212891608393,-28517.7679183045
449.5,26248.4717608077,-1608.8463403228,-27478.1593513869
450,27234.089874623,-3486.80265207758,-26339.4132599798
450.5,28100.0309988138,-5359.89428174949,-25105.3040233907
451,28844.8576454457,-7218.31654891975,-23779.9302050631
451.5,29467.8765834909,-9052.2821593741,-22367.7006735176
452,29969.1371020111,-10852.0813736218,-20873.3196849089
452.5,30349.4245051971,-12608.1416385656,-19301.7709789564
453,30610.2489190367,-14311.0862864523,-17658.3009431509
453.5,30753.8295249421,-15951.7919138273,-15948.4009030748
454,30783.0743697081,-17521.4440655247,-14177.7885994137
454.5,30701.5559332204,-19011.5908645688,-12352.3889147565
455,30513.48266491,-20414.1942479911,-10478.3139155883
455.5,30223.6667266879,-21721.6784906368,-8561.84227696596
456,29837.4882036575,-22926.975723677,-6609.39815922895
456.5,29360.8560640576,-24023.5681812892,-4627.52960773448
457,28800.1661664833,-25005.5269373823,-2622.88654801323
457.5,28162.2566254042,-25867.5469237939,-602.19844992119
458,27454.3608553773,-26604.9780516209,1427.74826468965
458.5,26684.0586202536,-27213.8522877482,3460.13299554391
459,25859.225416296,-27690.9065687842,5488.1238430372
459.5,24987.98051773,-28033.6014640786,7504.90051688231
460,24078.6340101555,-28240.1355279245,9503.67719831936
460.5,23139.6331318428,-28309.4553081508,11477.7252801203
461,22179.5082355913,-28241.2610038468,13420.3959090652
461.5,21206.8186749912,-28036.0077887964,15325.1422562532
462,20230.0989089779,-27694.9028392198,17185.5414415205
462.5,19257.8051079315,-27219.8981246437,18995.3160393816
463,18298.2625335907,-26613.6790391749,20748.3550952808
463.5,17359.6139540807,-25879.6489672619,22438.7345825361
464,16449.7693446359,-25021.9098933513,24060.7372321756
464.5,15576.3571143876,-24045.2391788839,25608.8716699023
465,14746.6770899978,-22955.0626430691,27077.8907966757
465.5,13967.6554780648,-21757.4240960607,28462.8093518559
466,13245.8020200957,-20458.951484813,29758.9206005227
466.5,12587.1695463882,-19066.8198232499,30961.8120894373
467,11997.3161282681,-17588.7110896852,32067.3804191702
467.5,11481.270021598,-16032.7712858783,33071.844983144
468,11043.4975880812,-14407.5648638775,33971.7606277464
468.5,10687.8743743499,-12722.0267389973,34764.0291912356
469,10417.659521834,-10985.4121199721,35445.9098828767
469.5,10235.4736726289,-9207.24440052975,36015.0284676078
470,10143.2805276678,-7397.26137026877,36469.3852255263
470.5,10142.3722031289,-5565.3600166886,36807.3616595875
471,10233.3585188421,-3721.5402043213,37027.7259291158
471.5,10416.1603382276,-1875.84753089322,37129.6369910288
472,10690.0070627477,-38.3156740073291,37112.6474350415
472.5,11053.4383648205,1781.09144537779,36976.7050035481
473,11504.3102214918,3572.53734477911,36722.1527913502
473.5,12039.8052868865,5326.37015940731,36349.7281248965
474,12656.4476145876,7033.17896284263,35860.5601252037
474.5,13350.1217117896,8683.84886768689,35256.1659631286
475,14116.0958755603,10269.6145420295,34538.4458201267
475.5,14949.0497281697,11782.1117781387,33709.676572064
476,15843.1058336081,13213.426753948,32772.5042180101
476.5,16791.8652416202,14556.1426359274,31729.9350802296
477,17788.4467693998,15803.3831839886,30585.3258057744
477.5,18825.5297951153,16948.853035287,29342.3722041577
478,19895.4003023492,17986.8743641443,28005.0969595363
478.5,20989.9998809829,18912.4196397245,26577.8362596286
479,22100.9773587164,19721.1402313448,25065.2253872359
479.5,23219.7427089234,20409.3906430809,23472.1833237068
480,24337.5228554895,20974.2481942189,21803.8964169615
480.5,25445.4189742028,21413.5279996218,20065.8011697822
481,26534.4648736039,21725.7931436365,18263.5662069532
481.5,27595.6860262891,21910.3599821451,16403.0734824944
482,28620.1588147552,21967.2985490886,14490.3987906719
482.5,29599.0695540651,21897.428085574,12531.791646677
483,30523.77285692,21702.3077508363,10533.6546048377
483.5,31385.8489150053,21384.2226142077,8502.52208395871
484,32177.1592835113,20946.165065224,6445.03877087844
484.5,32889.9007731575,20391.8118145388,4367.93767457488
485,33516.6570754609,19725.4966909267,2278.01790415297
485.5,34050.4477718604,18952.1794689774,182.122244797109
486,34484.7744050958,18077.4109878079,-1912.88539372083
486.5,34813.6633213397,17107.2948430919,-4000.14258112958
487,35031.7050233868,16048.4459528328,-6072.81094848028
487.5,35134.0898081203,14907.9463116155,-8124.09867306806
488,35116.6394949101,13693.2982586849,-10147.2827922926
488.5,34975.8350850255,12412.3755923032,-12135.7312730054
489,34708.8402250778,11073.372866705,-14082.924763838
489.5,34313.5203795253,9684.75320892015,-15982.4779591871
490,33788.4576480451,8255.19499111843,-17828.1605049355
490.5,33132.9611928181,6793.5376903413,-19613.9173776253
491,32347.0732683252,5308.72726189238,-21333.8886706499
491.5,31431.5708719834,3809.76134564973,-22982.4287230963
