<Arduino is ready>
Dipole: 193.5,-0.53,-0.28,0.23
Dipole: 194,-0.55,-0.25,0.21
Dipole: 194.5,-0.57,-0.23,0.19
Dipole: 195,-0.58,-0.20,0.17
Dipole: 195.5,-0.60,-0.17,0.15
Dipole: 196,-0.61,-0.14,0.12
Dipole: 196.5,-0.62,-0.12,0.10
Dipole: 197,-0.63,-0.09,0.08
Dipole: 197.5,-0.63,-0.06,0.05
Dipole: 198,-0.64,-0.04,0.03
Dipole: 198.5,-0.64,-0.01,0.00
Dipole: 199,-0.64,0.01,-0.02
Dipole: 199.5,-0.64,0.03,-0.05
Dipole: 200,-0.63,0.05,-0.08
Dipole: 200.5,-0.63,0.07,-0.10
Dipole: 201,-0.62,0.09,-0.13
Dipole: 201.5,-0.61,0.10,-0.15
Dipole: 202,-0.61,0.11,-0.18
Dipole: 202.5,-0.60,0.13,-0.20
Dipole: 203,-0.59,0.14,-0.23
Dipole: 203.5,-0.57,0.14,-0.25
Dipole: 204,-0.56,0.15,-0.27
Dipole: 204.5,-0.55,0.15,-0.30
Dipole: 205,-0.54,0.15,-0.32
Dipole: 205.5,-0.53,0.15,-0.34
Dipole: 206,-0.51,0.15,-0.36
Dipole: 206.5,-0.50,0.15,-0.37
Dipole: 207,-0.49,0.14,-0.39
Dipole: 207.5,-0.48,0.14,-0.41
Dipole: 208,-0.47,0.13,-0.42
Dipole: 208.5,-0.46,0.12,-0.43
Dipole: 209,-0.46,0.11,-0.44
Dipole: 209.5,-0.45,0.10,-0.45
Dipole: 210,-0.44,0.08,-0.46
Dipole: 210.5,-0.44,0.07,-0.47
Dipole: 211,-0.44,0.06,-0.47
Dipole: 211.5,-0.43,0.04,-0.47
Dipole: 212,-0.43,0.03,-0.48
Dipole: 212.5,-0.44,0.01,-0.48
Dipole: 213,-0.44,-0.00,-0.47
Dipole: 213.5,-0.44,-0.01,-0.47
Dipole: 214,-0.45,-0.03,-0.47
Dipole: 214.5,-0.45,-0.04,-0.46
Dipole: 215,-0.46,-0.05,-0.45
Dipole: 215.5,-0.47,-0.06,-0.44
Dipole: 216,-0.48,-0.07,-0.43
Dipole: 216.5,-0.49,-0.08,-0.42
Dipole: 217,-0.50,-0.09,-0.40
Dipole: 217.5,-0.51,-0.09,-0.38
Dipole: 218,-0.52,-0.10,-0.37
Dipole: 218.5,-0.54,-0.10,-0.35
Dipole: 219,-0.55,-0.10,-0.33
Dipole: 219.5,-0.56,-0.10,-0.31
Dipole: 220,-0.57,-0.09,-0.29
Dipole: 220.5,-0.59,-0.09,-0.26
Dipole: 221,-0.60,-0.08,-0.24
Dipole: 221.5,-0.61,-0.07,-0.22
Dipole: 222,-0.62,-0.06,-0.19
Dipole: 222.5,-0.63,-0.05,-0.16
Dipole: 223,-0.63,-0.03,-0.14
Dipole: 223.5,-0.64,-0.02,-0.11
Dipole: 224,-0.64,0.00,-0.08
Dipole: 224.5,-0.65,0.02,-0.06
Dipole: 225,-0.65,0.04,-0.03
Dipole: 225.5,-0.65,0.06,-0.00
Dipole: 226,-0.64,0.09,0.02
Dipole: 226.5,-0.64,0.11,0.05
Dipole: 227,-0.63,0.13,0.08
Dipole: 227.5,-0.62,0.16,0.10
Dipole: 228,-0.61,0.19,0.13
Dipole: 228.5,-0.60,0.21,0.15
Dipole: 229,-0.58,0.24,0.18
Dipole: 229.5,-0.56,0.26,0.20
Dipole: 230,-0.54,0.29,0.22
Dipole: 230.5,-0.52,0.31,0.24
Dipole: 231,-0.49,0.34,0.26
Dipole: 231.5,-0.47,0.36,0.28
Dipole: 232,-0.44,0.38,0.30
Dipole: 232.5,-0.40,0.41,0.31
Dipole: 233,-0.37,0.43,0.33
Dipole: 233.5,-0.34,0.44,0.34
Dipole: 234,-0.30,0.46,0.35
Dipole: 234.5,-0.26,0.48,0.36
Dipole: 235,-0.22,0.49,0.37
Dipole: 235.5,-0.18,0.50,0.38
Dipole: 236,-0.14,0.51,0.38
Dipole: 236.5,-0.10,0.52,0.39
Dipole: 237,-0.06,0.53,0.39
Dipole: 237.5,-0.01,0.53,0.39
Dipole: 238,0.03,0.53,0.38
Dipole: 238.5,0.07,0.53,0.38
Dipole: 239,0.11,0.53,0.38
Dipole: 239.5,0.15,0.52,0.37
Dipole: 240,0.19,0.51,0.36
Dipole: 240.5,0.23,0.50,0.35
Dipole: 241,0.27,0.49,0.34
Dipole: 241.5,0.31,0.48,0.32
Dipole: 242,0.35,0.47,0.31
Dipole: 242.5,0.38,0.45,0.29
Dipole: 243,0.41,0.43,0.27
Dipole: 243.5,0.44,0.41,0.25
Dipole: 244,0.47,0.39,0.23
Dipole: 244.5,0.50,0.37,0.21
Dipole: 245,0.52,0.35,0.19
Dipole: 245.5,0.55,0.33,0.16
Dipole: 246,0.57,0.31,0.14
Dipole: 246.5,0.58,0.28,0.11
